epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,421.262,0.93389,1.18905,0.98786,0.76002,0.62278,0.6749,0.41448,1.53598,1.0833,1.39062,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067
2,789.862,0.74369,0.47336,0.89947,0.76376,0.67908,0.72866,0.44038,1.476,0.99274,1.39955,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205
3,1114.21,0.71458,0.42369,0.89016,0.76057,0.69568,0.73764,0.47144,1.38257,0.93848,1.39935,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144
4,1432.26,0.67443,0.39159,0.87898,0.78579,0.72018,0.76,0.48152,1.42821,0.93062,1.51011,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1751.35,0.62445,0.35515,0.86561,0.77138,0.7416,0.76699,0.47724,1.45888,0.9767,1.55894,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2067.45,0.59137,0.33221,0.85594,0.80403,0.72503,0.77117,0.48689,1.406,0.92148,1.52687,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2383.68,0.56771,0.31602,0.84965,0.80029,0.7346,0.77948,0.48638,1.44955,0.92659,1.56424,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2698.53,0.55094,0.30483,0.84425,0.80366,0.71407,0.77214,0.51178,1.41006,0.95186,1.58876,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,321.808,0.53549,0.29481,0.84047,0.8,0.7439,0.78257,0.51116,1.34326,0.92488,1.52692,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,640.57,0.52232,0.28646,0.83641,0.81487,0.75855,0.79712,0.51961,1.37155,0.88806,1.59395,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,314.019,0.49944,0.27367,0.82936,0.82045,0.74903,0.7865,0.51369,1.37062,0.861,1.60658,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,625.721,0.49138,0.26817,0.82695,0.80318,0.75011,0.78499,0.49199,1.4328,0.91534,1.63554,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,939.37,0.49617,0.27082,0.82964,0.8249,0.75215,0.79482,0.52948,1.37837,0.89105,1.679,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1251.66,0.48667,0.26583,0.82647,0.81222,0.75326,0.78874,0.5189,1.36125,0.90925,1.60875,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1559.98,0.47767,0.26091,0.82445,0.82512,0.74946,0.7854,0.5136,1.36932,0.87298,1.66489,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1869.07,0.47033,0.25692,0.8222,0.80925,0.76731,0.79799,0.53101,1.39187,0.85614,1.60738,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
